"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2013","104.10","104.10","104.10","104.10","-","-0.20%"
"Jan 21, 2013","104.31","104.31","104.31","104.31","-","-0.45%"
"Jan 18, 2013","104.78","104.78","104.78","104.78","-","-0.98%"
"Jan 17, 2013","105.82","105.82","105.82","105.82","-","-0.26%"
"Jan 16, 2013","106.10","106.10","106.10","106.10","-","1.75%"
"Jan 15, 2013","104.28","104.28","104.28","104.28","-","1.48%"
"Jan 14, 2013","102.76","102.76","102.76","102.76","-","1.11%"
"Jan 11, 2013","101.63","101.63","101.63","101.63","-","0.60%"
"Jan 10, 2013","101.02","101.02","101.02","101.02","-","-0.01%"
"Jan 09, 2013","101.03","101.03","101.03","101.03","-","2.14%"
"Jan 08, 2013","98.91","98.91","98.91","98.91","-","1.39%"
"Jan 07, 2013","97.55","97.55","97.55","97.55","-","0.26%"
"Jan 04, 2013","97.30","97.30","97.30","97.30","-","1.28%"
"Jan 03, 2013","96.07","96.07","96.07","96.07","-","0.54%"
"Jan 02, 2013","95.55","95.55","95.55","95.55","-","0.73%"
"Dec 31, 2012","94.86","94.86","94.86","94.86","-","0.08%"
"Dec 28, 2012","94.78","94.78","94.78","94.78","-","0.04%"
"Dec 27, 2012","94.74","94.74","94.74","94.74","-","0.53%"
"Dec 24, 2012","94.24","94.24","94.24","94.24","-","0.12%"
"Dec 21, 2012","94.13","94.13","94.13","94.13","-","0.14%"
"Dec 20, 2012","94.00","94.00","94.00","94.00","-","0.21%"
"Dec 19, 2012","93.80","93.80","93.80","93.80","-","0.45%"
"Dec 18, 2012","93.38","93.38","93.38","93.38","-","0.20%"
"Dec 17, 2012","93.19","93.19","93.19","93.19","-","0.17%"
"Dec 14, 2012","93.03","93.03","93.03","93.03","-","0.25%"
"Dec 13, 2012","92.80","92.80","92.80","92.80","-","0.65%"
"Dec 11, 2012","92.20","92.20","92.20","92.20","-","0.36%"
"Dec 10, 2012","91.87","91.87","91.87","91.87","-","-0.09%"
"Dec 07, 2012","91.95","91.95","91.95","91.95","-","0.47%"
"Dec 06, 2012","91.52","91.52","91.52","91.52","-","-0.37%"
"Dec 05, 2012","91.86","91.86","91.86","91.86","-","-0.13%"
"Dec 04, 2012","91.98","91.98","91.98","91.98","-","-0.08%"
"Dec 03, 2012","92.05","92.05","92.05","92.05","-","-0.16%"
"Nov 30, 2012","92.20","92.20","92.20","92.20","-","-0.07%"
"Nov 29, 2012","92.26","92.26","92.26","92.26","-","-0.32%"
"Nov 28, 2012","92.56","92.56","92.56","92.56","-","-0.24%"
"Nov 27, 2012","92.78","92.78","92.78","92.78","-","-1.19%"
"Nov 26, 2012","93.90","93.90","93.90","93.90","-","0.46%"
