"Date","Price","Open","High","Low","Vol.","Change %"
"May 11, 2005","3,266.55","3,266.55","3,266.55","3,266.55","-","0.26%"
"May 10, 2005","3,258.08","3,258.08","3,258.08","3,258.08","-","0.16%"
"May 09, 2005","3,253.02","3,253.02","3,253.02","3,253.02","-","0.31%"
"May 06, 2005","3,242.89","3,242.89","3,242.89","3,242.89","-","-0.32%"
"May 05, 2005","3,253.17","3,253.17","3,253.17","3,253.17","-","0.60%"
"May 04, 2005","3,233.70","3,233.70","3,233.70","3,233.70","-","0.17%"
"May 03, 2005","3,228.14","3,228.14","3,228.14","3,228.14","-","0.02%"
"Apr 29, 2005","3,227.59","3,227.59","3,227.59","3,227.59","-","0.33%"
"Apr 28, 2005","3,217.01","3,217.01","3,217.01","3,217.01","-","0.33%"
"Apr 27, 2005","3,206.43","3,206.43","3,206.43","3,206.43","-","0.06%"
"Apr 26, 2005","3,204.47","3,204.47","3,204.47","3,204.47","-","0.81%"
"Apr 25, 2005","3,178.67","3,178.67","3,178.67","3,178.67","-","0.43%"
"Apr 22, 2005","3,165.19","3,165.19","3,165.19","3,165.19","-","0.03%"
"Apr 21, 2005","3,164.35","3,164.35","3,164.35","3,164.35","-","0.61%"
"Apr 20, 2005","3,145.29","3,145.29","3,145.29","3,145.29","-","0.20%"
"Apr 19, 2005","3,138.94","3,138.94","3,138.94","3,138.94","-","0.06%"
"Apr 18, 2005","3,137.01","3,137.01","3,137.01","3,137.01","-","-0.04%"
"Apr 15, 2005","3,138.17","3,138.17","3,138.17","3,138.17","-","-0.01%"
"Apr 14, 2005","3,138.64","3,138.64","3,138.64","3,138.64","-","-0.23%"
"Apr 13, 2005","3,145.80","3,145.80","3,145.80","3,145.80","-","0.27%"
"Apr 12, 2005","3,137.24","3,137.24","3,137.24","3,137.24","-","-0.69%"
"Apr 11, 2005","3,159.03","3,159.03","3,159.03","3,159.03","-","-0.16%"
"Apr 08, 2005","3,163.95","3,163.95","3,163.95","3,163.95","-","0.02%"
"Apr 07, 2005","3,163.26","3,163.26","3,163.26","3,163.26","-","0.40%"
"Apr 06, 2005","3,150.81","3,150.81","3,150.81","3,150.81","-","0.31%"
"Apr 05, 2005","3,141.19","3,141.19","3,141.19","3,141.19","-","-0.23%"
"Apr 04, 2005","3,148.50","3,148.50","3,148.50","3,148.50","-","0.29%"
"Apr 01, 2005","3,139.54","3,139.54","3,139.54","3,139.54","-","0.43%"
"Mar 31, 2005","3,126.07","3,126.07","3,126.07","3,126.07","-","-0.07%"
"Mar 30, 2005","3,128.40","3,128.40","3,128.40","3,128.40","-","-0.30%"
"Mar 29, 2005","3,137.85","3,137.85","3,137.85","3,137.85","-","-0.54%"
"Mar 24, 2005","3,155.01","3,155.01","3,155.01","3,155.01","-","0.19%"
"Mar 23, 2005","3,148.87","3,148.87","3,148.87","3,148.87","-","-0.01%"
"Mar 22, 2005","3,149.34","3,149.34","3,149.34","3,149.34","-","-0.16%"
